k,f0,orbitale,noeuds,Rc,Rtop,Rdyn,ReN,H,D,bande,regime,n_fenetres,masse_sous_plancher
-10,2.7403858601e-04,1s,0,1.9780968050e+00,1.0000000000e+00,1.0000000000e+00,8.3804104493e-01,1.2096871613e+00,7.8549441307e-02,E2,Cosmologique,6,8.9941963424e-02
-10,2.7403858601e-04,2s,1,1.2735300278e+02,1.0000000000e+00,1.0000000000e+00,1.7480185582e-01,1.2237857563e+00,2.1294031474e-01,E2,Cosmologique,6,2.0196566199e-01
-10,2.7403858601e-04,2p,0,9.7084790181e+01,1.0000000000e+00,1.0000000000e+00,2.3788917572e-01,1.2216843246e+00,2.0094343590e-01,E2,Cosmologique,6,3.2798115060e-01
-10,2.7403858601e-04,3s,2,1.5596887665e+02,1.0000000000e+00,1.0000000000e+00,1.0598749952e-01,1.2250772518e+00,2.1089653926e-01,E2,Cosmologique,6,2.8933328321e-01
-10,2.7403858601e-04,3p,1,1.2072726684e+02,1.0000000000e+00,1.0000000000e+00,1.0723130975e-01,1.2214346009e+00,2.1194648841e-01,E2,Cosmologique,6,3.1531617227e-01
-10,2.7403858601e-04,3d,0,1.0032410694e+02,1.0000000000e+00,1.0000000000e+00,1.7068409811e-01,1.2191067708e+00,2.2241413255e-01,E2,Cosmologique,6,3.6161684959e-02
-10,2.7403858601e-04,4s,3,2.6882502949e+02,1.0000000000e+00,1.0000000000e+00,4.7290350443e-02,1.2264057135e+00,1.5690576242e-01,E2,Cosmologique,6,3.0386478446e-01
-10,2.7403858601e-04,4p,2,2.6724301801e+02,1.0000000000e+00,1.0000000000e+00,6.0810194873e-02,1.2252098005e+00,1.7257098725e-01,E2,Cosmologique,6,2.9046924417e-01
-10,2.7403858601e-04,4d,1,1.8884119896e+02,1.0000000000e+00,1.0000000000e+00,6.5853045564e-02,1.2203342423e+00,2.2065711690e-01,E2,Cosmologique,6,5.9869657955e-02
-10,2.7403858601e-04,4f,0,9.3323150140e+01,1.0000000000e+00,1.0000000000e+00,1.7157211374e-01,1.2223309445e+00,2.2152934919e-01,E2,Cosmologique,6,2.1578883626e-01
-9,2.9033376831e-04,1s,0,1.9232634250e+00,1.0000000000e+00,1.0000000000e+00,8.5114190929e-01,1.1862780743e+00,7.5889690537e-02,E2,Cosmologique,6,8.9941963424e-02
-9,2.9033376831e-04,2s,1,1.2493649566e+02,1.0000000000e+00,1.0000000000e+00,1.9128827674e-01,1.1999110119e+00,2.1620713142e-01,E2,Cosmologique,6,2.0196566199e-01
